 ,Area,X,Y,Circ.,AR,Round,Solidity
1,1.544,13.328,1.159,0.733,1.871,0.534,0.944
2,2.233,6.025,1.150,0.803,1.050,0.952,0.968
3,2.102,10.907,1.190,0.702,1.589,0.630,0.950
4,3.461E-4,1.126,0.567,1.000,1.000,1.000,1.000
5,1.499,3.673,1.223,0.803,1.330,0.752,0.965
6,1.016,1.198,1.153,0.851,1.189,0.841,0.958
7,1.028,8.447,1.219,0.865,1.200,0.833,0.969
8,3.461E-4,10.744,0.605,1.000,1.000,1.000,1.000
9,3.461E-4,5.107,0.921,1.000,1.000,1.000,1.000
10,0.001,0.567,1.181,0.809,3.000,0.333,1.000
11,3.461E-4,5.181,1.163,1.000,1.000,1.000,1.000
12,6.923E-4,5.293,1.395,1.000,2.000,0.500,1.000
13,2.707,6.063,3.539,0.804,1.295,0.772,0.962
14,1.694,10.916,3.532,0.732,1.342,0.745,0.933
15,1.358,3.579,3.617,0.769,1.143,0.875,0.939
16,3.461E-4,8.251,2.949,1.000,1.000,1.000,1.000
17,1.321,8.447,3.581,0.747,1.049,0.953,0.962
18,3.461E-4,8.772,2.967,1.000,1.000,1.000,1.000
19,6.923E-4,13.153,2.967,1.000,2.000,0.500,1.000
20,1.378,13.263,3.576,0.835,1.169,0.856,0.965
21,1.141,1.241,3.591,0.761,1.572,0.636,0.939
22,3.461E-4,3.116,3.153,1.000,1.000,1.000,1.000
23,3.461E-4,0.753,3.284,1.000,1.000,1.000,1.000
24,3.461E-4,9.070,3.340,1.000,1.000,1.000,1.000
25,0.002,12.474,3.414,0.536,5.000,0.200,1.000
26,3.461E-4,2.837,3.395,1.000,1.000,1.000,1.000
27,6.923E-4,7.767,3.423,1.000,2.000,0.500,1.000
28,6.923E-4,2.837,3.479,1.000,2.000,0.500,1.000
29,6.923E-4,7.767,3.516,1.000,2.000,0.500,1.000
30,3.461E-4,0.567,3.563,1.000,1.000,1.000,1.000
31,3.461E-4,7.823,3.674,1.000,1.000,1.000,1.000
32,3.461E-4,12.549,3.674,1.000,1.000,1.000,1.000
33,3.461E-4,3.023,4.009,1.000,1.000,1.000,1.000
34,0.001,0.800,4.102,0.740,4.000,0.250,1.000
35,3.461E-4,3.433,4.288,1.000,1.000,1.000,1.000
36,6.923E-4,3.553,4.288,1.000,2.000,0.500,1.000
37,3.461E-4,8.251,4.288,1.000,1.000,1.000,1.000
38,3.461E-4,8.530,4.288,1.000,1.000,1.000,1.000
39,0.002,8.381,4.307,0.434,7.000,0.143,1.000
40,2.771,13.336,6.007,0.541,1.405,0.712,0.944
41,2.213,6.033,6.157,0.711,1.580,0.633,0.937
42,1.695,8.504,6.093,0.755,1.178,0.849,0.940
43,3.461E-4,1.237,5.423,1.000,1.000,1.000,1.000
44,1.384,1.239,6.071,0.786,1.354,0.739,0.962
45,1.008,10.900,6.059,0.740,1.537,0.651,0.940
46,0.811,3.599,6.096,0.836,1.450,0.690,0.961
47,0.001,13.712,6.902,1.000,1.000,1.000,1.000
48,6.923E-4,13.414,6.967,1.000,2.000,0.500,1.000
49,3.382,8.438,8.470,0.803,1.133,0.882,0.963
50,2.941,3.661,8.485,0.736,1.567,0.638,0.925
51,2.027,1.263,8.441,0.837,1.070,0.935,0.973
52,1.217,6.083,8.487,0.695,1.110,0.901,0.891
53,3.461E-4,9.163,7.805,1.000,1.000,1.000,1.000
54,0.801,13.354,8.447,0.630,1.594,0.627,0.935
